Student_ID,Age,Gender,Grade,Section,Average_Score,Math_Score,Science_Score,Language_Score,Exam_Attendance,Assignments_Completed,Failed_Subjects,Attendance_Percentage,Days_Absent,Late_Coming,Participation_in_Activities,Disciplinary_Actions,Homework_Completion,Class_Engagement,Parent_Education_Level,Family_Income,Siblings_in_School,Parental_Involvement,Dropout_Risk
100,14,Male,9,A,49.18,84.61,84.18,77.2,0,3,3,74.15,17,3,1,1,53.86,Low,Graduate,3900,1,Low,High
101,16,Male,7,C,89.34,95.06,93.56,69.65,0,2,2,76.55,11,4,8,3,77.94,High,Post-Graduate,6544,0,Medium,High
102,11,Female,7,D,59.88,56.42,64.74,64.24,1,14,3,97.6,15,0,1,3,95.1,High,Graduate,5230,1,High,High
103,11,Female,10,A,71.75,26.86,97.29,97.54,1,11,2,60.35,27,14,8,2,58.79,Medium,High School,7345,1,High,High
104,13,Male,6,B,85.27,95.06,51.23,94.91,1,0,3,83.53,27,8,7,4,81.57,Medium,Graduate,3263,0,High,High
105,11,Male,7,A,32.83,26.43,39.57,55.03,1,10,1,73.74,23,1,1,4,74.97,High,High School,5397,3,Low,High
106,11,Male,6,C,87.48,32.73,34.18,42.73,1,16,3,83.98,37,11,1,1,62.85,High,Post-Graduate,4653,3,Medium,High
107,15,Male,6,D,39.71,89.41,58.32,60.73,1,7,3,79.91,2,2,4,4,71.04,High,High School,5034,3,Medium,High
108,13,Male,6,D,55.09,64.12,30.46,79.69,1,13,3,87.82,22,1,0,1,72.64,Medium,High School,5115,2,Medium,High
109,15,Female,6,C,63.09,48.21,90.06,52.08,1,4,1,76.69,17,0,3,1,57.52,High,Post-Graduate,6052,0,Medium,Low
110,16,Other,9,A,92.68,94.47,82.78,62.98,1,14,3,85.09,33,9,7,3,58.75,High,High School,6331,2,Medium,High
111,17,Other,9,C,31.57,96.84,64.97,43.9,1,1,2,86.76,25,7,2,3,83.56,High,Graduate,7341,0,High,High
112,16,Female,10,D,69.14,46.46,77.72,54.22,1,6,2,58.9,49,5,0,0,56.36,Low,Graduate,4067,1,Medium,High
113,17,Female,9,B,74.98,89.47,24.0,96.58,1,12,1,96.25,2,18,9,0,89.02,Low,Graduate,3137,3,Low,Low
114,15,Female,11,D,52.16,74.28,36.28,37.19,1,19,3,86.23,38,18,4,0,92.37,Medium,High School,2248,0,Medium,High
115,16,Male,7,D,50.33,41.96,69.7,99.1,1,10,2,54.84,33,2,2,2,55.69,High,High School,7873,3,Medium,High
116,13,Female,11,A,64.33,95.31,58.2,37.24,1,13,3,93.04,28,12,7,4,97.21,Medium,High School,3134,3,High,High
117,10,Female,9,B,43.1,25.05,68.37,45.54,1,9,0,59.54,21,19,2,0,98.88,Low,High School,4286,2,Low,High
118,15,Female,7,D,62.77,45.44,27.12,26.97,1,3,3,79.32,26,9,0,1,52.69,Low,High School,6816,2,Medium,High
119,17,Female,7,B,83.55,51.7,72.19,80.17,1,19,1,65.66,44,9,6,2,50.17,Medium,Illiterate,3677,2,Low,High
120,14,Male,6,C,89.18,75.25,84.29,21.41,0,14,3,78.79,39,13,3,4,97.4,Medium,Graduate,7614,0,Medium,High
121,17,Male,10,A,56.96,23.07,63.7,83.03,1,2,2,94.41,27,0,0,0,54.52,High,Graduate,5444,3,High,High
122,14,Other,6,B,73.21,91.18,48.59,66.17,1,10,3,94.53,23,12,5,4,63.45,Medium,Illiterate,6736,3,Medium,High
123,11,Male,6,B,30.0,72.73,33.97,79.9,1,19,1,89.3,19,11,4,0,73.72,Medium,Graduate,5220,3,High,High
124,16,Female,11,A,68.52,42.0,41.23,82.65,1,17,2,90.74,36,5,2,1,57.92,High,Graduate,6594,3,Medium,High
125,14,Other,9,C,98.27,72.67,61.8,29.95,1,16,0,75.39,33,8,7,3,70.77,Low,High School,4523,0,Medium,Low
126,17,Female,11,B,51.86,62.95,40.44,21.71,1,13,0,93.42,26,5,9,4,96.36,Low,High School,5146,1,Medium,Low
127,11,Female,9,A,71.63,46.9,82.24,33.5,1,14,3,73.35,48,19,3,3,94.36,Low,Graduate,3185,1,Medium,High
128,10,Male,11,D,83.36,22.29,30.54,50.73,1,17,3,60.42,15,5,6,3,57.72,Medium,High School,5728,2,Medium,High
129,13,Male,7,A,72.63,64.09,61.31,25.87,1,2,0,94.9,20,12,5,1,97.21,High,High School,5071,1,Low,Low
130,13,Female,9,D,59.29,26.57,59.68,56.54,1,12,1,72.98,14,2,8,3,85.54,Medium,High School,7944,2,Medium,High
131,13,Female,9,B,40.68,84.81,31.11,42.81,1,2,2,80.04,12,4,6,4,98.54,Medium,High School,9769,0,High,High
132,14,Female,11,B,62.46,27.08,99.6,49.11,1,6,1,81.32,15,9,8,2,58.85,Medium,High School,3459,0,Low,Low
133,10,Male,8,B,50.63,54.3,85.85,95.23,1,18,1,54.11,41,19,6,4,53.25,Medium,High School,4898,1,Low,High
134,14,Male,7,C,78.71,54.76,50.92,77.94,1,17,1,67.7,28,15,1,0,70.76,Low,Graduate,5978,1,Medium,High
135,16,Other,7,C,60.93,64.5,74.79,72.65,1,16,0,67.94,35,19,2,0,99.44,Low,Graduate,4413,3,Medium,High
136,14,Male,8,D,89.49,23.16,77.33,72.29,1,8,0,85.84,43,17,7,0,72.78,Medium,Graduate,8227,2,Medium,Low
137,10,Female,11,A,43.53,36.31,72.09,64.43,1,13,2,83.86,14,18,7,4,82.25,High,Post-Graduate,4339,0,Medium,High
138,10,Male,11,D,59.24,35.96,54.6,61.04,1,7,0,99.45,10,11,1,4,76.89,High,High School,3378,3,Low,Low
139,16,Female,7,A,69.03,67.92,90.81,90.57,1,13,2,86.55,10,14,8,3,94.78,Medium,Post-Graduate,7894,3,High,High
140,10,Other,11,B,38.82,41.09,81.72,26.0,1,4,2,61.14,27,0,6,3,93.46,Medium,Post-Graduate,5586,0,Medium,High
141,17,Female,10,A,71.15,31.54,63.36,43.08,1,19,0,67.29,16,6,2,4,98.08,Low,Graduate,8023,0,High,High
142,10,Male,10,C,50.36,21.47,20.21,28.33,1,13,0,58.35,0,3,5,2,80.5,High,Post-Graduate,7395,3,High,High
143,13,Female,8,A,46.07,87.24,37.87,20.88,1,11,0,93.1,43,14,6,1,78.07,High,High School,3357,2,High,High
144,17,Female,9,A,39.93,97.72,60.71,21.11,1,7,2,92.29,19,15,3,3,53.18,High,Graduate,6728,0,High,High
145,17,Male,10,B,54.49,76.26,91.91,21.92,1,0,1,95.68,49,6,3,3,65.42,High,Illiterate,4480,2,Low,Low
146,16,Female,11,B,95.03,53.02,70.29,74.54,1,15,2,82.99,34,7,0,4,67.99,High,High School,2782,2,Low,High
147,12,Female,8,C,32.17,29.76,53.43,28.91,1,7,2,63.44,13,15,7,2,75.19,High,Graduate,8688,3,Low,High
148,12,Female,10,A,89.65,58.01,23.83,36.19,1,4,3,94.83,34,17,3,3,56.15,Low,High School,2990,3,High,High
149,10,Female,6,A,57.82,56.59,67.78,53.52,1,2,3,63.64,2,16,6,0,76.8,Medium,Graduate,4214,1,Low,High
150,17,Male,8,A,69.31,53.59,48.06,41.54,1,12,1,69.2,30,11,6,0,63.18,Medium,High School,2272,3,Medium,High
151,12,Male,7,B,65.9,50.26,62.99,85.34,1,4,2,51.09,48,2,0,3,98.49,Low,Graduate,8929,1,High,High
152,12,Male,10,C,94.8,59.74,81.32,69.88,1,2,2,78.9,38,15,4,4,60.32,Medium,Graduate,5978,2,Medium,High
153,10,Other,7,A,83.91,25.85,84.3,46.66,1,13,0,71.78,36,7,1,4,58.7,Medium,High School,7543,2,Medium,High
154,12,Female,8,A,98.94,23.06,89.14,45.42,1,5,3,82.39,31,4,6,4,75.72,Medium,High School,4230,1,Medium,High
155,14,Female,10,A,85.61,25.12,70.88,74.7,1,6,0,98.4,6,11,2,2,96.28,High,High School,3199,3,High,Low
156,11,Male,7,A,50.71,36.0,92.45,33.65,1,5,3,52.86,2,4,0,0,55.54,Low,High School,6328,1,Low,High
157,16,Male,9,C,97.4,42.25,75.25,42.44,1,13,3,54.57,24,8,1,1,95.89,Medium,High School,7838,2,Low,High
158,11,Female,9,C,98.85,33.56,82.71,48.27,1,3,1,78.21,29,8,3,3,55.39,Low,Illiterate,9069,0,Medium,Low
159,10,Female,6,C,38.62,40.15,74.84,56.37,1,19,0,99.89,28,8,0,2,58.6,Medium,Illiterate,4113,3,High,High
160,13,Male,11,B,93.07,34.87,89.75,35.24,1,18,3,64.4,16,7,6,2,57.92,High,High School,7607,0,Medium,High
161,16,Female,8,A,76.49,32.06,37.83,32.58,1,9,0,76.82,20,7,9,4,61.51,Low,Graduate,8377,1,High,Low
162,10,Male,11,A,94.54,43.44,80.79,99.2,1,12,0,60.19,15,1,6,3,87.56,High,High School,5945,1,Medium,High
163,17,Male,11,A,94.1,51.8,29.37,93.06,1,11,3,76.49,49,17,7,2,71.24,High,Graduate,6691,1,Low,High
164,13,Female,7,A,92.4,79.54,27.36,61.89,1,13,1,59.17,24,14,9,0,90.57,Low,High School,9258,1,High,High
165,11,Male,6,D,91.97,96.44,59.33,81.24,1,12,1,58.86,41,15,1,1,66.41,High,High School,5619,0,Medium,High
166,10,Other,8,C,38.24,93.52,44.02,73.92,1,18,0,66.93,22,15,8,3,73.46,High,High School,9226,0,Medium,High
167,17,Male,9,D,40.05,58.07,65.07,26.01,1,8,3,96.98,28,0,7,2,74.77,Low,Graduate,3202,1,Low,High
168,16,Male,11,D,38.24,56.91,74.22,61.43,1,15,3,82.97,6,5,1,2,73.28,Medium,High School,7403,0,Low,High
169,16,Male,7,B,36.37,30.06,38.13,34.71,1,8,2,68.58,3,9,3,0,69.91,Medium,Graduate,9488,3,Medium,High
170,15,Female,11,B,54.73,97.74,75.99,66.72,1,5,1,81.93,2,13,4,3,67.51,Medium,Illiterate,3117,2,Medium,Low
171,17,Male,10,A,77.88,80.81,99.64,24.94,1,13,3,59.97,45,15,9,2,92.33,High,High School,6057,3,Low,High
172,14,Female,9,D,54.83,87.81,80.8,33.03,0,6,1,81.87,5,1,9,1,70.37,High,Post-Graduate,3244,1,High,Low
173,12,Male,11,D,80.42,38.73,33.9,82.54,1,18,2,96.01,0,7,2,1,56.58,High,Graduate,3099,1,Low,High
174,13,Male,10,C,87.42,52.09,70.7,87.46,0,2,2,96.85,34,6,3,1,59.69,Medium,High School,9857,2,Low,High
175,17,Male,10,D,76.64,28.21,20.76,92.6,1,14,0,79.32,30,17,5,3,84.97,Low,High School,3143,2,Medium,Low
176,15,Female,7,B,62.56,95.27,57.58,91.74,1,11,2,93.98,8,17,6,1,99.67,High,Illiterate,8545,2,High,High
177,12,Female,7,D,50.69,42.87,62.66,92.56,1,0,2,69.37,35,0,3,4,83.96,Low,High School,2463,2,Medium,High
178,12,Male,10,B,38.71,67.68,97.79,27.58,1,10,3,94.28,26,7,8,1,54.27,Low,High School,8848,1,Medium,High
179,10,Female,6,A,64.56,32.18,78.98,72.76,1,2,3,66.71,30,5,7,3,76.17,Medium,Graduate,4170,2,Medium,High
180,12,Other,11,B,80.37,84.22,76.48,76.08,1,16,2,85.16,36,1,9,0,80.51,High,High School,3190,2,Low,High
181,14,Male,10,A,68.38,34.91,62.59,41.46,1,12,3,95.95,26,19,6,4,78.6,Medium,Post-Graduate,4476,2,High,High
182,16,Female,10,C,80.5,84.75,61.05,99.43,1,7,3,78.25,13,13,2,2,58.12,Medium,High School,4983,1,High,High
183,15,Male,7,A,53.47,52.14,99.37,42.87,1,12,0,63.73,23,2,0,1,83.31,Medium,Graduate,9781,1,Low,High
184,12,Other,11,D,34.68,66.22,21.7,65.99,1,7,3,84.9,2,8,8,0,50.93,Medium,Post-Graduate,7598,0,Medium,High
185,10,Female,8,B,83.98,41.58,44.26,89.79,1,7,0,55.64,39,2,6,4,87.89,High,Illiterate,6961,2,Medium,High
186,14,Other,9,A,45.38,90.62,30.7,43.13,1,12,3,67.29,8,7,8,2,63.21,High,Illiterate,5992,2,High,High
187,11,Female,7,A,73.14,80.79,45.2,68.52,1,11,0,94.79,44,14,5,2,98.18,Medium,High School,2766,0,Medium,Low
188,16,Male,11,A,86.3,48.34,57.09,77.6,1,4,0,86.85,22,4,8,1,68.92,High,High School,8174,0,High,Low
189,16,Other,11,A,39.74,66.83,47.35,70.14,1,12,1,52.73,42,5,1,2,53.48,High,Graduate,8473,1,Medium,High
190,15,Male,6,A,71.89,30.32,97.02,52.48,1,11,0,78.69,21,14,3,1,99.53,High,High School,2108,2,High,Low
191,16,Male,9,A,78.26,32.84,74.45,95.58,1,18,3,62.41,30,11,7,1,81.73,Medium,High School,9529,2,High,High
192,12,Female,7,B,82.26,62.69,78.24,68.98,1,9,0,50.68,49,19,6,4,78.2,High,Illiterate,8919,2,Medium,High
193,10,Female,7,D,40.34,71.25,79.38,37.95,1,14,2,63.37,18,2,0,0,67.77,Medium,High School,4685,2,Medium,High
194,16,Other,8,D,87.76,64.59,91.94,84.49,1,1,0,88.7,31,5,3,4,72.67,High,Graduate,9239,3,Low,Low
195,16,Male,6,A,36.59,64.75,81.44,72.47,1,5,0,70.12,11,16,5,4,72.29,Medium,High School,4128,2,Medium,High
196,11,Female,6,B,66.37,79.38,21.3,28.76,1,15,2,63.29,5,19,3,3,63.53,Medium,Graduate,8974,3,Medium,High
197,11,Female,11,A,61.04,92.19,40.91,42.25,1,0,3,99.95,31,1,5,3,67.22,Low,Graduate,9856,3,High,High
198,13,Male,11,C,45.52,51.01,99.13,32.65,1,1,3,78.85,7,4,0,1,96.94,High,Post-Graduate,5035,3,Medium,High
199,14,Male,7,D,51.14,62.95,72.17,25.81,1,14,3,61.1,34,1,8,0,58.55,Low,Post-Graduate,4294,0,Low,High
200,12,Male,8,A,41.51,91.44,25.45,38.42,1,15,0,60.15,14,1,2,2,74.68,High,High School,4341,3,Medium,High
201,16,Male,7,B,59.8,57.14,57.33,42.25,1,7,2,55.16,27,5,4,0,95.24,High,Post-Graduate,3858,1,Medium,High
202,17,Other,10,D,32.49,55.61,98.47,57.32,1,13,1,80.59,48,4,2,2,88.42,High,Illiterate,8951,2,Medium,High
203,16,Female,11,B,92.22,81.32,99.43,97.54,1,9,3,93.97,21,9,7,1,99.85,Medium,Post-Graduate,9266,1,High,High
